title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,oscar_wins,producers,rating,runtime_mins,theaters,clean_rating,new_genre,days_in_theater,year,summer,fall,holiday,winter,spring,PG-13,R,PG,G,GP,M/PG,director_prev_nom,director_prev_win,BAFTA,Golden Globe,Guild,rt_critic_score,rt_audience_score,encoded_director,encoded_genre,encoded_producer
The A-Team,6/11/2010,110000000.0,Joe Carnahan,Fox,77222099.0,86741300.0,Action,0,0.0,"['Ridley Scott', 'Tony Scott', 'Alex Young']",PG-13,117.0,3544.0,PG-13,Act_Adven,97.0,2010.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
A.C.O.D.,10/4/2013,0.0,0,The Film Arcade,175705.0,187900.0,Comedy,0,0.0,['Teddy Schwarzman'],PG-13,88.0,42.0,PG-13,Comedy,34.0,2013.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,1
A.I. Artificial Intelligence,6/29/2001,100000000.0,Steven Spielberg,Warner Bros.,78616689.0,124036600.0,Sci-Fi,2,0.0,"['Kathleen Kennedy', 'Steven Spielberg']",PG-13,145.0,3242.0,PG-13,Fantasy_Scifi,,2001.0,1,0,0,0,0,1,0,0,0,0,0,5,2,0,2,0,73.0,64.0,2,2,2
Abandon,10/18/2002,25000000.0,Stephen Gaghan,Paramount,10727683.0,16488500.0,Thriller,0,0.0,"['Gary Barber', 'Roger Birnbaum', 'Lynda Obst', 'Richard Vane', 'Edward Zwick']",PG-13,99.0,2347.0,PG-13,Crime_Thriller,62.0,2002.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,3,3
The Abandoned,2/23/2007,0.0,0,After Dark Films,1331137.0,1727800.0,Horror,0,0.0,,R,106.0,1000.0,R,Horror,13.0,2007.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,4,4
Abduction,9/23/2011,35000000.0,John Singleton,Lionsgate,28087155.0,31589200.0,Action,0,0.0,"['Patrick Crowley', 'Doug Davison', 'Roy Lee']",PG-13,106.0,3118.0,PG-13,Act_Adven,83.0,2011.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,4,0,5
Abominable,4/14/2006,0.0,0,Freestyle Releasing,1810.0,2500.0,Horror,0,0.0,,R,94.0,1.0,R,Horror,2.0,2006.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,4,4
About a Boy,5/17/2002,30000000.0,"Chris Weitz, Paul Weitz",Universal,41385278.0,63609400.0,Comedy / Drama,1,0.0,"['Tim Bevan', 'Eric Fellner', 'Nick Hornby']",PG-13,100.0,1756.0,PG-13,Comedy,62.0,2002.0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,94.0,54.0,5,1,6
About Adam,5/11/2001,0.0,0,Miramax,159668.0,251900.0,Romantic Comedy,0,0.0,,R,97.0,11.0,R,Romance,20.0,2001.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,5,4
About Alex,8/8/2014,0.0,0,Screen Media,0.0,0.0,Comedy,0,0.0,,R,96.0,,R,Comedy,,2014.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,4
