title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,oscar_wins,producers,rating,runtime_mins,theaters,clean_rating,new_genre,days_in_theater,year,summer,fall,holiday,winter,spring,PG-13,R,PG,G,GP,M/PG
The A-Team,6/11/2010,110000000,['Joe Carnahan'],Fox,77222099,86741300,Action,0,0,"['Ridley Scott', 'Tony Scott', 'Alex Young']",PG-13,117,3544,PG-13,Act_Adven,97,2010,1,0,0,0,0,1,0,0,0,0,0
A.C.O.D.,10/4/2013,,,The Film Arcade,175705,187900,Comedy,0,0,['Teddy Schwarzman'],PG-13,88,42,PG-13,Comedy,34,2013,0,1,0,0,0,1,0,0,0,0,0
A.I. Artificial Intelligence,6/29/2001,100000000,['Steven Spielberg'],Warner Bros.,78616689,124036600,Sci-Fi,2,0,"['Kathleen Kennedy', 'Steven Spielberg']",PG-13,145,3242,PG-13,Fantasy_Scifi,,2001,1,0,0,0,0,1,0,0,0,0,0
Abandon,10/18/2002,25000000,['Stephen Gaghan'],Paramount,10727683,16488500,Thriller,0,0,"['Gary Barber', 'Roger Birnbaum', 'Lynda Obst', 'Richard Vane', 'Edward Zwick']",PG-13,99,2347,PG-13,Crime_Thriller,62,2002,0,1,0,0,0,1,0,0,0,0,0
The Abandoned,2/23/2007,,,After Dark Films,1331137,1727800,Horror,0,0,,R,106,1000,R,Horror,13,2007,0,0,0,1,0,0,1,0,0,0,0
Abduction,9/23/2011,35000000,['John Singleton'],Lionsgate,28087155,31589200,Action,0,0,"['Patrick Crowley', 'Doug Davison', 'Roy Lee']",PG-13,106,3118,PG-13,Act_Adven,83,2011,0,1,0,0,0,1,0,0,0,0,0
Abominable,4/14/2006,,,Freestyle Releasing,1810,2500,Horror,0,0,,R,94,1,R,Horror,2,2006,0,0,0,0,1,0,1,0,0,0,0
About a Boy,5/17/2002,30000000,"['Chris Weitz', 'Paul Weitz']",Universal,41385278,63609400,Comedy / Drama,1,0,"['Tim Bevan', 'Eric Fellner', 'Nick Hornby']",PG-13,100,1756,PG-13,Comedy,62,2002,1,0,0,0,0,1,0,0,0,0,0
About Adam,5/11/2001,,,Miramax,159668,251900,Romantic Comedy,0,0,,R,97,11,R,Romance,20,2001,1,0,0,0,0,0,1,0,0,0,0
About Alex,8/8/2014,,,Screen Media,,,Comedy,0,0,,R,96,,R,Comedy,,2014,1,0,0,0,0,0,1,0,0,0,0
