title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,producers,rating,runtime_mins,theaters,season,theater_run,Year,summer,fall,winter,spring,holiday,,PG-13,R,PG,G,GP,M/PG
The A-Team,6/11/2010,110000000,Joe Carnahan,Fox,77222099,86741300,Act_Adven,0,"Ridley Scott, Tony Scott, Alex Young",PG-13,117,3544,summer,97,2010,1,0,0,0,0,0,1,0,0,0,0,0
A.C.O.D.,10/4/2013,,,The Film Arcade,175705,187900,Comedy,0,Teddy Schwarzman,PG-13,88,42,fall,34,2013,0,1,0,0,0,0,1,0,0,0,0,0
A.I. Artificial Intelligence,6/29/2001,100000000,Steven Spielberg,Warner Bros.,78616689,124036600,Fantasy_Scifi,2,"Kathleen Kennedy, Steven Spielberg",PG-13,145,3242,summer,0,2001,1,0,0,0,0,0,1,0,0,0,0,0
A Aa,6/1/2016,,,Blue Sky Cinema,2313043,2366000,Comedy,0,,,152,115,summer,15,2016,1,0,0,0,0,1,0,0,0,0,0,0
Aatsinki: The Story of Arctic Cowboys,1/24/2014,,,Argot Pictures,6601,7400,Documentary,0,,,85,2,winter,41,2007,0,0,1,0,0,1,0,0,0,0,0,0
Abacus: Small Enough to Jail,5/19/2017,,,PBS Distribution,113278,113100,Documentary,0,,,88,8,summer,0,2002,1,0,0,0,0,1,0,0,0,0,0,0
Abandon,10/18/2002,25000000,Stephen Gaghan,Paramount,10727683,16488500,Crime_Thriller,0,"Gary Barber, Roger Birnbaum, Lynda Obst, Richard Vane, Edward Zwick",PG-13,99,2347,fall,62,2013,0,1,0,0,0,0,1,0,0,0,0,0
The Abandoned,2/23/2007,,,After Dark Films,1331137,1727800,Horror,0,,R,106,1000,winter,13,2001,0,0,1,0,0,0,0,1,0,0,0,0
ABC Africa,5/3/2002,,,New Yorker,9075,13900,Documentary,0,,,83,1,summer,118,2015,1,0,0,0,0,1,0,0,0,0,0,0
The ABC's of Death,3/8/2013,,,Magnolia,21832,24600,Horror,0,,,129,19,spring,0,2014,0,0,0,1,0,1,0,0,0,0,0,0
ABCD,11/30/2001,,,Eros,83372,131500,None,0,,,105,38,holiday,0,2011,0,0,0,0,1,1,0,0,0,0,0,0
ABCD,6/19/2015,,Remo DSouza,UTV Communications,892133,965700,Musical,0,,,154,146,summer,27,2001,1,0,0,0,0,1,0,0,0,0,0,0
ABCs of Death 2,10/31/2014,,,Magnolia,7171,7700,Horror,0,,,,17,fall,27,2006,0,1,0,0,0,1,0,0,0,0,0,0
